FID,id,latitude,longitude,country,sample_size,hbaa,hbas,hbss,malaria_hypothesis,population_estimates,area_type,source,citation,country_id,malaria_metrics_available,identifiedproblem
HbS_Data.fid--5a9ebec4_181ab14c941_1e58,897,25.948,49.1631,Saudi Arabia,851,639,145,67,YES,YES,,IBD02545,"el-Hazmi, M. A. and A. S. Warsy (1987). ""Interaction between glucose-6-phosphate dehydrogenase deficiency and sickle cell gene in Saudi Arabia."" Tropical and Geographical Medicine 39(1): 32-35.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e6f,898,25.9847,39.3058,Saudi Arabia,280,240,40,0,YES,YES,,IBD02545,"el-Hazmi, M. A. and A. S. Warsy (1987). ""Interaction between glucose-6-phosphate dehydrogenase deficiency and sickle cell gene in Saudi Arabia."" Tropical and Geographical Medicine 39(1): 32-35.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d94,626,26.042,-80.148,United States of America,114,106,8,0,NO,YES,Point (? 10 km2),IBD01602,"Pollitzer, W. S., D. Rucknagel, et al. (1970). ""The Seminole Indians of Florida: morphology and serology."" American Journal of Physical Anthropology 32(1): 65-81.",USA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1afe,228,26.134,9.349,Algeria,92,88,4,0,YES,YES,Point (? 10 km2),IBD00405,"Cabannes, R., P. Lefevre-Witier, et al. (1967). ""III. Etude des hemoglobines dans les populations du Tassili N'Ajjer."" Bulletins et Mémoires de la Société d'Anthropologie de Paris 12(1): 434-439.",DZA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f7f,627,26.2063,-80.8737,United States of America,92,73,19,0,NO,YES,Large polygon (>100 km2),IBD01602,"Pollitzer, W. S., D. Rucknagel, et al. (1970). ""The Seminole Indians of Florida: morphology and serology."" American Journal of Physical Anthropology 32(1): 65-81.",USA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b12,32,26.221,50.206,Saudi Arabia,1698,1612,75,10,NO,YES,Point (? 10 km2),IBD00047,"Al-Awamy, B. H., M. Al-Musan, et al. (1984). ""Neonatal screening for sickle cell disease in the Eastern Province of Saudi Arabia."" Transactions of the Royal Society of Tropical Medicine and Hygiene 78: 792-794.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d9b,617,26.283,50.205,Saudi Arabia,2341,1824,467,37,NO,YES,Wide-area (>10 and ? 25 km2),IBD01575,"Perrine, R. P., P. John, et al. (1981). ""Sickle cell disease in Saudi Arabs in early childhood."" Archives of Disease in Childhood 56(3): 187-192.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ced,376,26.285,50.205,Saudi Arabia,391,339,48,4,NO,YES,Wide-area (>10 and ? 25 km2),IBD00788,"Gelpi, A. P. and M. C. King (1976). ""Screening for abnormal hemoglobins in the middle east: new data on hemoglobin S and the presence of hemoglobin C in Saudi Arabia."" Acta Haematologica 56(6): 334-337.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b13,34,26.432,50.107,Saudi Arabia,2803,2597,188,15,NO,YES,Point (? 10 km2),IBD00047,"Al-Awamy, B. H., M. Al-Musan, et al. (1984). ""Neonatal screening for sickle cell disease in the Eastern Province of Saudi Arabia."" Transactions of the Royal Society of Tropical Medicine and Hygiene 78: 792-794.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b59,33,26.432,50.107,Saudi Arabia,1129,900,202,22,YES,YES,Point (? 10 km2),IBD00047,"Al-Awamy, B. H., M. Al-Musan, et al. (1984). ""Neonatal screening for sickle cell disease in the Eastern Province of Saudi Arabia."" Transactions of the Royal Society of Tropical Medicine and Hygiene 78: 792-794.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c8c,229,26.501,8.471,Algeria,47,43,4,0,YES,YES,Point (? 10 km2),IBD00405,"Cabannes, R., P. Lefevre-Witier, et al. (1967). ""III. Etude des hemoglobines dans les populations du Tassili N'Ajjer."" Bulletins et Mémoires de la Société d'Anthropologie de Paris 12(1): 434-439.",DZA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ec7,1009,26.562,50.005,Saudi Arabia,24012,12804,2849,402,NO,YES,Point (? 10 km2),IBD02906,"Nasserullah, Z., A. Alshammari, et al. (2003). ""Regional experience with newborn screening for sickle cell disease, other hemoglobinopathies and G6PD deficiency."" Annals of Saudi Medicine 23(6): 354-357.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b96,489,26.562,50.006,Saudi Arabia,416,316,100,,YES,NO,Point (? 10 km2),IBD01173,"Lehmann, H., G. Maranjian, et al. (1963). ""Distribution of sickle-cell hemoglobin in Saudi Arabia."" Nature 198: 492-493.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ed8,1027,26.562,50.006,Saudi Arabia,504,243,107,8,YES,NO,Large polygon (>100 km2),IBD02994,"Quadri, M. I., S. I. Islam, et al. (2000). ""The effect of alpha-thalassemia on cord blood red cell indices and interaction with sickle cell gene."" Annals of Saudi Medicine 20(5-6): 367-370.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cb0,490,26.624,43.204,Saudi Arabia,179,177,2,,YES,YES,Large polygon (>100 km2),IBD01173,"Lehmann, H., G. Maranjian, et al. (1963). ""Distribution of sickle-cell hemoglobin in Saudi Arabia."" Nature 198: 492-493.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cec,375,26.649,49.963,Saudi Arabia,81,80,1,,NO,YES,Point (? 10 km2),IBD00785,"Gelpi, A. P. (1967). ""Glucose-6-phosphate dehydrogenase deficiency, the sickling trait, and malaria in Saudi Arab children."" Journal of Pediatrics 71(1): 138-146.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c98,249,26.7743,89.1266,India,116,116,,,YES,YES,Point (? 10 km2),IBD00472,"Chaudhuri, S., M. R. Chakravartti, et al. (1964). Study of haemotological factors, blood groups, anthropometric measurments and genetics of some of the tribal and caste groups:1 South India - Keraia, Nilgiris, and Andhra Pradesh, 2. North Eastern India (Indo-Bhutan bordar). Proceedings of the 9th Congress of the International Society of Blood Transfusion, mexico, 1962, Karger, S.",IND,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d3e,491,26.887,39.916,Saudi Arabia,102,102,0,,YES,YES,Large polygon (>100 km2),IBD01173,"Lehmann, H., G. Maranjian, et al. (1963). ""Distribution of sickle-cell hemoglobin in Saudi Arabia."" Nature 198: 492-493.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b61,492,27.01,49.659,Saudi Arabia,65,,16,,YES,NO,Point (? 10 km2),IBD01173,"Lehmann, H., G. Maranjian, et al. (1963). ""Distribution of sickle-cell hemoglobin in Saudi Arabia."" Nature 198: 492-493.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f80,628,27.0812,-81.0677,United States of America,72,72,0,0,NO,YES,Large polygon (>100 km2),IBD01602,"Pollitzer, W. S., D. Rucknagel, et al. (1970). ""The Seminole Indians of Florida: morphology and serology."" American Journal of Physical Anthropology 32(1): 65-81.",USA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b66,1213,27.13,93.618,India,179,142,0,0,YES,YES,Point (? 10 km2),IBD03295,"Sen, R., S. Chakrabarti, et al. (2005). ""Alpha-thalassemia among tribal populations of Eastern India."" Hemoglobin 29(4): 277-280.",IND,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d5a,515,27.217,-109.242,Mexico,96,96,0,,NO,YES,,IBD01241,"Lisker, R., G. Zarate, et al. (1966). ""Studies on several genetic hematologic traits of Mexicans IX. Abnormal hemoglobins and erythrocytic glucose-6-phosphate dehydrogenase deficiency in several Indian tribes."" Blood 27(6): 824-830.",MEX,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f45,435,27.345,15.041,Libyan Arab Jamahiriya,205,192,13,0,YES,YES,Point (? 10 km2),IBD01049,"Kamel, K., M. Umar, et al. (1975). ""Anthropological studies among Libyans. Erythrocyte genetic factors, serum haptoglobin phenotypes and anthropometry."" American Journal of Physical Anthropology 43(1): 103-111.",LBA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c87,220,27.3825,-1.8958,Algeria,637,625,12,0,YES,YES,,IBD00403,"Cabannes, R., G. Larrouy, et al. (1969). ""Etude hemotypologique des populations sedentaires de la Saoura (Sahara occidental). II. Les hemoglobines."" Bulletins et Mémoires de la Société d'Anthropologie de Paris 12(4): 139-142.",DZA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dde,1214,27.48,94.908,India,234,110,1,0,YES,YES,Point (? 10 km2),IBD03295,"Sen, R., S. Chakrabarti, et al. (2005). ""Alpha-thalassemia among tribal populations of Eastern India."" Hemoglobin 29(4): 277-280.",IND,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f2c,1122,27.706,85.619,Nepal,439,439,0,0,YES,YES,Wide-area (>10 and ? 25 km2),IBD03261,"Suzuki, A., S. Hamano, et al. (2007). ""The distribution of hereditary erythrocytic disorders associated with malaria, in a lowland area of Nepal: a micro-epidemiological study."" Annals of Tropical Medicine and Parasitology 101(2): 113-122.",NPL,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d5b,516,28.1434,-108.122,Mexico,99,99,0,,NO,YES,,IBD01241,"Lisker, R., G. Zarate, et al. (1966). ""Studies on several genetic hematologic traits of Mexicans IX. Abnormal hemoglobins and erythrocytic glucose-6-phosphate dehydrogenase deficiency in several Indian tribes."" Blood 27(6): 824-830.",MEX,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ee7,1126,28.7764,76.7667,India,448,447,1,0,YES,YES,Point (? 10 km2),IBD03267,"Basu, S., A. Kumar, et al. (2008). ""Incidence of NESTROFT-positives and haemoglobin S among the Jats and Brahmins of Sampla, Haryana."" Anthropologist 10(3): 203-205.",IND,TRUE,FALSE
