country	longitude	latitude	polygon_id	source	Pfsa1_+	Pfsa1_N	Pfsa2_+	Pfsa2_N	Pfsa3_+	Pfsa3_N	Pfsa4_+	Pfsa4_N	Pfsa12_--	Pfsa12_-+	Pfsa12_+-	Pfsa12_++	Pfsa13_--	Pfsa13_-+	Pfsa13_+-	Pfsa13_++	Pfsa14_--	Pfsa14_-+	Pfsa14_+-	Pfsa14_++	Pfsa23_--	Pfsa23_-+	Pfsa23_+-	Pfsa23_++	Pfsa24_--	Pfsa24_-+	Pfsa24_+-	Pfsa24_++	Pfsa34_--	Pfsa34_-+	Pfsa34_+-	Pfsa34_++
Democratic Republic of the Congo	19.776296420000122	-1.7455347648602628	7563	Verity et al 2021	0	1	1	2	2	2	3	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	2
Democratic Republic of the Congo	19.77629642000002	-0.01348398666701962	7564	Verity et al 2021	0	0	1	2	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1
Democratic Republic of the Congo	19.77629641999999	1.7185667927768793	7565	Verity et al 2021	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Democratic Republic of the Congo	19.77629642000013	3.450617412757617	7566	Verity et al 2021	4	6	8	8	4	6	5	6	0	2	0	4	2	0	0	4	1	0	0	4	0	0	2	4	0	0	1	5	1	0	0	4
Democratic Republic of the Congo	20.276296420000016	-6.075660650166652	7598	Verity et al 2021	2	3	1	1	1	2	3	3	0	1	0	0	1	0	0	1	0	1	0	2	0	0	1	0	0	0	0	1	0	1	0	1
Democratic Republic of the Congo	20.27629642000007	-4.343610578239477	7599	Verity et al 2021	4	11	2	8	3	8	12	12	5	0	0	2	3	1	0	2	0	7	0	3	4	1	0	2	0	6	0	2	0	5	0	3
Democratic Republic of the Congo	20.27629642000007	-0.8795093859649029	7601	Verity et al 2021	0	2	0	3	1	3	3	3	2	0	0	0	2	0	0	0	0	2	0	0	2	1	0	0	0	3	0	0	0	2	0	1
Democratic Republic of the Congo	20.27629641999983	0.8525414129436125	7602	Verity et al 2021	1	3	1	3	0	1	3	3	2	0	0	1	1	0	0	0	0	2	0	1	1	0	0	0	0	2	0	1	0	1	0	0
Democratic Republic of the Congo	20.276296420000087	2.5845921327451853	7603	Verity et al 2021	2	2	3	3	1	3	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	1
Democratic Republic of the Congo	20.27629641999993	4.316642612724278	7604	Verity et al 2021	4	4	4	4	4	4	4	4	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	4
Democratic Republic of the Congo	20.776296419999724	-6.941685484756717	7634	Verity et al 2021	12	15	7	11	6	10	16	16	1	1	2	6	2	0	1	6	0	3	0	12	3	0	1	5	0	4	0	7	0	4	0	6
Democratic Republic of the Congo	20.776296419999717	-5.209635674628535	7635	Verity et al 2021	1	1	0	1	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
Democratic Republic of the Congo	20.77629641999968	-1.7455347648602466	7637	Verity et al 2021	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Democratic Republic of the Congo	20.77629641999996	-0.013483986667216136	7638	Verity et al 2021	2	6	2	7	1	8	9	9	3	0	1	1	3	1	2	0	0	4	0	2	4	1	2	0	0	5	0	2	0	7	0	1
Democratic Republic of the Congo	20.776296419999777	1.718566792777099	7639	Verity et al 2021	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1
Democratic Republic of the Congo	20.77629642000002	3.4506174127574516	7640	Verity et al 2021	12	13	12	13	11	12	14	14	1	0	0	12	1	0	0	11	0	1	0	12	1	0	0	11	0	1	0	12	0	1	0	11
Democratic Republic of the Congo	21.276296419999845	-6.0756606501666255	7672	Verity et al 2021	5	10	6	9	3	6	9	10	3	0	0	5	2	0	1	3	0	4	1	4	2	0	1	3	0	3	1	5	0	3	1	2
Democratic Republic of the Congo	21.2762964199999	-4.343610578239418	7673	Verity et al 2021	3	4	2	3	2	4	4	4	1	0	0	2	1	0	1	2	0	1	0	3	1	0	1	1	0	1	0	2	0	2	0	2
Democratic Republic of the Congo	21.2762964199998	-0.8795093859647273	7675	Verity et al 2021	1	4	1	3	0	3	2	2	2	1	0	0	3	0	0	0	0	2	0	0	2	0	1	0	0	1	0	1	0	2	0	0
Democratic Republic of the Congo	21.27629641999978	2.584592132745276	7677	Verity et al 2021	2	4	3	4	2	5	5	6	1	1	0	2	2	0	1	1	0	1	1	1	1	0	2	1	0	1	1	1	1	1	0	2
